Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),TRSP(%),TFPS(Hz),RRSP(%),TPWR(dBm),Ptch(rad),Roll(rad),Yaw(rad),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,VSpd(m/s),RxBt(V),Curr(A),Capa(mAh),Bat%(%),FM,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2023-05-08,07:29:00.080,-19,0,100,0,0,31,10,-22,100,13,100,30,100,10,0.00,0.10,-1.23,44.333190 -71.566964,0.1,289.48,372,14,0.2,16.7,0.3,11,99,"FBWA",-1,1,-851,5,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,-1,-1,0x0000000000000001,1479,1480,990,1479,2012,988,988,1091,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2023-05-08,07:29:00.990,-23,0,100,0,0,31,10,-27,100,13,100,30,100,10,0.00,0.09,-1.22,44.333191 -71.566963,0.3,289.54,371,14,0.1,16.7,0.3,12,99,"FBWA",-5,1,-1024,5,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,-1,-1,0x0000000000000001,1479,1480,886,1477,2012,988,988,1091,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2023-05-08,07:29:01.990,-26,0,100,0,0,31,10,-28,100,13,100,30,100,10,0.00,0.06,-1.19,44.333192 -71.566962,0.3,291.91,371,14,0.3,16.7,0.3,12,99,"FBWA",-4,1,-1024,5,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,-1,-1,0x0000000000000001,1479,1480,886,1478,2012,988,988,1091,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2023-05-08,07:29:02.990,-19,0,100,0,0,31,10,-22,100,12,100,30,100,10,0.00,0.07,-1.21,44.333190 -71.566960,0.2,290.05,371,14,-0.1,16.7,0.3,12,99,"FBWA",-5,1,-1024,5,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,-1,-1,0x0000000000000001,1479,1480,886,1477,2012,988,988,1091,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2023-05-08,07:29:03.990,-20,0,100,0,0,31,10,-22,100,13,100,30,100,10,0.00,0.09,-1.16,44.333188 -71.566959,0.2,293.37,371,14,-0.1,16.7,0.3,12,99,"FBWA",-5,1,-1024,4,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,-1,-1,0x0000000000000001,1479,1480,886,1477,2012,988,988,1091,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2023-05-08,07:29:04.990,-23,0,100,0,0,31,10,-25,100,14,100,30,100,10,0.02,0.06,-1.24,44.333188 -71.566957,0.1,288.39,372,14,0.0,16.7,0.3,12,99,"AUTO",-5,1,-1024,4,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1480,886,1477,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2023-05-08,07:29:05.990,-28,0,100,0,0,31,10,-31,100,12,100,30,100,10,0.02,0.05,-1.12,44.333188 -71.566955,0.3,295.11,372,14,0.3,16.7,0.3,12,99,"AUTO",-5,1,-1024,4,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1480,886,1477,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2023-05-08,07:29:06.990,-31,0,100,0,0,31,10,-33,100,13,100,30,100,10,0.26,0.13,2.73,44.333179 -71.566949,1.4,157.36,372,14,1.0,15.9,49.8,18,99,"AUTO",-5,2,-1024,4,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1481,886,1477,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2023-05-08,07:29:07.990,-35,0,100,0,0,31,10,-39,100,12,100,30,100,10,0.32,-0.09,2.64,44.333086 -71.566903,35.4,151.61,372,14,2.0,15.9,46.0,31,99,"AUTO",-5,1,-1024,4,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,1,0,-1,0x0000000000000001,1479,1480,886,1477,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2023-05-08,07:29:08.990,-46,0,100,0,1,31,10,-49,100,13,100,30,100,10,0.41,0.01,2.68,44.332962 -71.566819,44.7,153.94,376,14,5.8,16.0,41.8,43,99,"AUTO",-4,1,-1024,4,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,1,0,-1,0x0000000000000001,1479,1480,886,1478,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
