Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),TRSP(%),TFPS(Hz),RRSP(%),TPWR(dBm),Ptch(rad),Roll(rad),Yaw(rad),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,VSpd(m/s),RxBt(V),Curr(A),Capa(mAh),Bat%(%),FM,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2023-04-21,13:37:52.540,10,0,100,0,0,19,100,12,100,13,100,20,100,20,-0.03,0.04,-1.37,44.333122 -71.566912,0.2,280.83,372,12,0.3,16.8,0.5,13,99,"FBWA",-1,2,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,-1,-1,0x0000000000000001,1479,1481,886,1479,2012,988,988,1091,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2023-04-21,13:37:53.420,11,0,100,0,0,19,100,13,100,14,100,20,100,20,-0.03,0.03,-1.36,44.333122 -71.566912,0.2,281.69,373,12,0.0,16.7,2.7,13,99,"FBWA",-1,1,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,-1,-1,0x0000000000000001,1479,1480,886,1479,2012,988,988,1091,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2023-04-21,13:37:54.420,10,0,100,0,0,19,100,12,100,13,100,20,100,20,-0.05,0.03,-1.32,44.333123 -71.566911,0.4,280.60,373,12,-0.1,16.8,0.5,14,99,"FBWA",-1,1,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,-1,-1,0x0000000000000001,1479,1480,886,1479,2012,988,988,1091,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2023-04-21,13:37:55.420,11,0,100,0,0,19,100,13,100,14,100,20,100,20,-0.04,0.10,-1.23,44.333122 -71.566911,0.1,289.25,373,12,0.0,16.8,0.5,14,99,"FBWA",-1,1,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1480,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2023-04-21,13:37:56.420,16,0,100,0,0,19,100,18,100,13,100,20,100,20,0.01,0.07,-1.22,44.333122 -71.566911,0.1,289.42,373,12,0.1,16.8,0.5,14,99,"AUTO",-1,2,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1481,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2023-04-21,13:37:57.420,19,0,100,0,0,19,100,21,100,14,100,20,100,20,-0.01,0.09,-1.18,44.333120 -71.566909,0.3,293.88,373,12,0.1,16.7,1.1,14,99,"AUTO",-1,1,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1480,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2023-04-21,13:37:58.420,17,0,100,0,1,19,100,23,100,14,100,20,100,20,0.26,0.10,-1.07,44.333119 -71.566908,1.9,297.80,373,12,0.9,15.9,35.0,17,99,"AUTO",0,2,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1481,886,1480,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2023-04-21,13:37:59.420,25,0,100,0,1,19,100,30,100,13,100,20,100,20,0.28,0.15,-3.08,44.333062 -71.566902,21.1,182.39,375,12,1.4,15.8,38.4,26,99,"AUTO",-1,2,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1480,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2023-04-21,13:38:00.420,34,0,100,0,1,19,100,37,100,13,100,20,100,20,0.38,0.06,-2.99,44.332872 -71.566955,44.7,192.06,378,12,2.8,15.8,35.7,41,99,"AUTO",-1,2,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1481,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2023-04-21,13:38:01.420,38,0,100,0,0,19,100,40,100,13,100,20,100,20,0.43,-0.19,-3.04,44.332764 -71.566995,47.5,185.55,382,12,4.7,15.8,34.4,47,99,"AUTO",0,1,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1480,886,1480,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2023-04-21,13:38:02.420,38,0,100,0,0,19,100,40,100,15,100,20,100,20,0.44,-0.30,-3.08,44.332527 -71.567041,49.8,178.14,392,12,6.2,15.8,33.4,55,99,"AUTO",-1,2,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1481,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2023-04-21,13:38:03.420,40,0,100,0,0,19,100,44,100,14,100,20,100,20,0.42,-0.18,3.06,44.332402 -71.567039,51.2,173.70,397,12,6.9,15.8,32.3,61,99,"AUTO",0,2,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1481,886,1480,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2023-04-21,13:38:04.420,45,0,100,0,0,19,100,47,100,13,100,20,100,20,0.40,-0.12,3.02,44.332278 -71.567026,52.1,173.70,403,12,8.1,15.8,32.3,75,99,"AUTO",-1,1,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1480,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2023-04-21,13:38:05.420,47,0,100,0,0,19,100,50,100,14,100,20,100,20,0.40,-0.12,2.91,44.332033 -71.566975,52.4,164.29,414,12,8.0,15.8,31.5,82,98,"AUTO",-1,2,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1481,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2023-04-21,13:38:06.420,48,0,100,0,1,19,100,51,100,12,99,20,100,20,0.39,0.00,2.89,44.331913 -71.566943,49.2,166.57,420,12,7.7,16.1,16.1,93,98,"AUTO",-1,2,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1481,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2023-04-21,13:38:07.420,48,0,100,0,0,19,100,49,100,13,100,20,100,20,0.08,-0.22,2.94,44.331812 -71.566918,44.9,167.89,425,12,2.4,16.4,3.1,94,98,"AUTO",-1,2,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1481,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2023-04-21,13:38:08.420,47,0,100,0,0,19,100,49,100,14,100,20,100,20,0.05,-0.28,2.87,44.331613 -71.566858,43.9,162.31,424,12,-1.9,16.0,22.3,98,98,"AUTO",-1,1,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1480,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2023-04-21,13:38:09.420,50,0,100,0,0,19,100,52,100,14,97,20,100,20,0.19,-0.22,2.72,44.331505 -71.566800,51.4,156.24,424,12,0.9,15.7,32.5,104,98,"AUTO",-1,1,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1480,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2023-04-21,13:38:10.420,51,0,100,0,0,19,100,54,100,13,94,20,99,20,0.26,-0.04,2.69,44.331384 -71.566722,53.9,153.70,427,12,4.0,15.8,29.8,110,98,"AUTO",0,2,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1481,886,1480,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2023-04-21,13:38:11.420,50,0,100,0,1,19,100,52,100,13,97,20,100,20,0.28,-0.12,2.71,44.331132 -71.566554,57.4,155.33,432,12,4.8,15.7,30.5,117,98,"AUTO",0,1,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1480,886,1480,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2023-04-21,13:38:12.420,52,0,100,0,1,19,100,54,100,13,94,20,97,20,0.27,0.00,2.75,44.331004 -71.566465,57.5,157.85,435,12,4.1,15.7,29.4,128,98,"AUTO",-1,2,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1481,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2023-04-21,13:38:13.420,54,0,100,0,0,19,100,57,100,13,89,20,94,20,0.26,-0.15,2.71,44.330752 -71.566285,59.8,152.08,441,12,5.2,15.7,29.9,134,98,"AUTO",-1,1,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1480,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2023-04-21,13:38:14.420,55,0,100,0,0,19,100,58,100,13,87,20,92,20,0.23,-0.10,2.57,44.330626 -71.566189,59.5,150.00,444,13,4.8,15.9,20.4,145,98,"AUTO",0,2,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1481,886,1480,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2023-04-21,13:38:15.420,53,0,100,0,0,19,100,57,100,13,89,20,95,20,0.12,-0.03,2.52,44.330398 -71.566009,53.5,144.98,448,13,1.7,16.2,8.9,148,98,"AUTO",-1,2,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1481,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2023-04-21,13:38:16.420,53,0,100,0,0,19,100,54,100,14,94,20,95,20,0.03,-0.08,2.53,44.330292 -71.565924,51.8,145.16,448,13,-1.0,16.3,6.8,150,98,"AUTO",-1,1,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1480,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2023-04-21,13:38:17.420,53,0,100,0,0,19,100,55,100,14,92,20,97,20,0.04,-0.02,2.50,44.330189 -71.565838,51.1,146.05,447,13,-1.1,16.2,9.3,151,98,"AUTO",-1,1,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1480,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2023-04-21,13:38:18.420,55,0,100,0,0,19,100,57,100,14,89,20,92,20,0.11,-0.05,2.52,44.330080 -71.565746,51.7,144.33,446,13,-0.6,16.1,14.1,154,98,"AUTO",-1,2,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1481,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2023-04-21,13:38:19.420,62,0,100,0,1,19,100,64,100,14,78,20,81,20,0.15,-0.04,2.49,44.329855 -71.565557,54.6,142.94,447,13,1.1,16.0,18.3,157,98,"AUTO",-1,2,-1024,5,-1024,-1024,0,0,0,0,0,1024,1024,-1,0,-1,-1,-1,-1,0,-1,0x0000000000000001,1479,1481,886,1479,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
